id;name;code;description;font_color;background_color
1;Checking Account California;e-markets National;eco-centric Direct solid state;Soft;Michigan emulation
2;Technician Mountains Human;gold background;Fish;vortals Texas Sao Tome and Principe;Burundi
3;circuit;ROI microchip;bypassing;Intelligent;neutral Massachusetts
4;backing up;Small purple;deposit;matrices SCSI North Carolina;Usability
5;Kids Realigned;Legacy;Awesome Granite Chicken Brand Consultant;mint green;overriding Samoa
6;Avon Virgin Islands, British;Factors Ball;Business-focused Cambridgeshire ubiquitous;microchip;generating index productize
7;Triple-buffered;Indiana TCP;Borders;Reverse-engineered;Public-key
8;incentivize Engineer Arkansas;Ergonomic;Andorra;streamline Lebanese Pound;Brooks
9;digital Auto Loan Account;withdrawal compressing Landing;Legacy bypass protocol;Sleek Metal Car;Consultant
10;Highway;Plastic;Intuitive;deposit white;Checking Account Netherlands Antillian Guilder
