id;text;i_18_n;jhi_group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;jhi_order;api_permission_codes
1;invoice Haven Plastic;Indian Rupee Ngultrum;true;e-tailers Berkshire Kip;Exclusive multi-state;BLANK;Tasty Soft Chips;false;false;false;true;true;true;Facilitator PNG Buckinghamshire;Riel Buckinghamshire;BUTTON;74555;pink
2;Berkshire ADP;Arkansas Arkansas;false;dynamic Right-sized Practical;Direct;TOP;reciprocal deposit Niue;true;false;true;true;false;false;Rubber Orchestrator SMTP;Greece parsing HTTP;BUTTON;14690;AI zero defect
3;knowledge user;open-source;false;orchestration Kentucky;yellow Wooden Directives;BLANK;Cheese;true;false;true;false;false;true;connecting;FTP;MENU;70725;Clothing Small Cotton Car driver
4;Supervisor Virginia Synchronised;haptic;true;parsing Small Product;Slovenia azure;BLANK;Credit Card Account;true;true;true;false;true;true;Canyon;Re-engineered panel Plastic;BUTTON;83194;US Dollar quantify Circles
5;Cambridgeshire bus Toys;National invoice Associate;true;Buckinghamshire Officer Glens;Switzerland;SELF;hub Fish Reverse-engineered;true;false;false;true;true;false;e-services Creative;compress overriding harness;BUTTON;41094;haptic
6;bus Guatemala;Berkshire;false;Heard Island and McDonald Islands;Legacy array;TOP;THX;true;true;true;true;true;false;Small copy;transform Auto Loan Account;MENU;73452;magenta
7;Chair COM Awesome;Accounts Optimization Bike;true;mobile;tangible;PARENT;dot-com;true;true;false;true;true;false;Tasty;Architect Strategist National;BUTTON;95013;calculating Borders
8;Concrete Ergonomic Cotton Chicken evolve;orchid architectures;true;Synergized;Chief Supervisor;PARENT;Heights Facilitator technologies;false;false;true;true;true;false;enable systemic;archive intangible;MENU;11792;Fresh Lao People's Democratic Republic Rufiyaa
9;Future Auto Loan Account;Applications Home web services;false;initiative analyzer;Buckinghamshire circuit;PARENT;Bulgarian Lev;false;false;true;true;true;false;orange TCP interface;Data;MENU;72721;Arkansas
10;Books Implementation;Unbranded New Taiwan Dollar;true;indexing;Avon sticky Small Wooden Pizza;BLANK;Tasty Wooden Idaho;false;false;false;false;false;false;Baby;compress;BUTTON;6544;initiatives Gloves
