id;process_definition_id;process_definition_key;process_definition_name;description;process_bpmn_data;deploied
1;EXE Home Loan Account;Berkshire;quantifying payment;fuchsia Soap;../fake-data/blob/hipster.txt;true
2;Books Garden;24/7 Unbranded Wooden Sausages;Intelligent Frozen Soap pixel;Chief;../fake-data/blob/hipster.txt;true
3;Ergonomic Lakes bypassing;Music Baby;virtual;Fantastic;../fake-data/blob/hipster.txt;false
4;1080p Music;Sausages;iterate maroon payment;lime;../fake-data/blob/hipster.txt;true
5;Lesotho Investor Branding;Fantastic Metal Hat Central;Neck;Michigan Cotton;../fake-data/blob/hipster.txt;true
6;Technician Focused;open-source;Web;silver;../fake-data/blob/hipster.txt;true
7;withdrawal Bedfordshire AGP;CFP Franc silver Officer;SAS optical;Incredible ubiquitous;../fake-data/blob/hipster.txt;false
8;Valley;Factors;JSON transmitter functionalities;Wooden Agent Investment Account;../fake-data/blob/hipster.txt;true
9;Frozen Generic Soft Shoes bypass;product hybrid;migration Lock national;Intelligent transmitting;../fake-data/blob/hipster.txt;true
10;paradigm Specialist haptic;connecting Cliff;Lebanese Pound cross-platform;Implementation Division;../fake-data/blob/hipster.txt;false
