id;name;relationship_type;source_type;other_entity_field;other_entity_name;relationship_name;other_entity_relationship_name;column_width;jhi_order;fixed;edit_in_list;enable_filter;hide_in_list;hide_in_form;font_color;background_color;help;owner_side;data_name;web_component_type;other_entity_is_tree;show_in_filter_tree;data_dictionary_code;client_read_only
1;back up Rand Namibia Dollar gold;ONE_TO_MANY;ENTITY;orchid;invoice;Checking Account brand back-end;synthesize JSON;74768;76629;LEFT;false;false;true;true;Orchestrator connecting;compressing Zimbabwe hack;Proactive payment Buckinghamshire;true;Sports;Automotive;true;false;program;false
2;Cayman Islands Dollar;ONE_TO_MANY;DATA_DICTIONARY;Handcrafted circuit Place;Junctions Rue;responsive Music Pants;back up Visionary;67281;68887;RIGHT;false;false;true;false;Buckinghamshire Refined Metal Hat integrate;Rustic Mountains;Chair Automotive Front-line;false;JBOD cyan Profit-focused;hacking;false;false;Chips;false
3;Tunisian Dinar Beauty;MANY_TO_ONE;ENTITY;technologies Buckinghamshire Fresh;COM;Denmark Integration UIC-Franc;discrete scale;57665;63142;LEFT;true;false;false;false;Brand Avon;Estonia backing up Implemented;Borders Metal Buckinghamshire;false;application Cambridgeshire multi-state;Brazilian Real Soft;false;true;Music;false
4;wireless Industrial Rustic Soft Towels;ONE_TO_MANY;DATA_DICTIONARY;Outdoors Central systematic;Profound;Optional Maldives coherent;holistic;85929;92767;RIGHT;false;true;true;true;ADP Credit Card Account;systems Arkansas Handcrafted Cotton Ball;bus Central Multi-lateral;true;convergence AI Cambridgeshire;compressing Knolls;false;false;calculate Music Venezuela;true
5;Garden;ONE_TO_ONE;DATA_DICTIONARY;payment Sleek Cotton Bacon;Consultant;Outdoors SMTP;New Hampshire;81029;72007;LEFT;true;false;true;false;visionary;Electronics;Generic Rubber Cheese Home Loan Account redundant;true;Plastic integrate XML;Ergonomic Granite Car Home Loan Account;true;false;Global;false
6;Sports visualize Forges;MANY_TO_MANY;DATA_DICTIONARY;time-frame Pizza Auto Loan Account;Berkshire hacking;optical navigating extensible;toolset Bike;73284;26999;RIGHT;true;true;false;false;Horizontal Unbranded Plastic Sausages facilitate;Land Licensed Cotton Shirt;Auto Loan Account Indiana invoice;true;Facilitator;coherent XSS;false;false;XSS Regional digital;false
7;hacking;ONE_TO_MANY;ENTITY;program composite;killer fuchsia Ergonomic;Awesome Fresh Pizza;static;56865;81771;RIGHT;true;true;true;false;primary Generic Wooden Pizza;maximize Switchable;pixel Bedfordshire;true;connect Metrics;yellow;false;false;back-end robust mission-critical;true
8;Cross-platform bluetooth;ONE_TO_ONE;DATA_DICTIONARY;Louisiana;Norway JSON;Brunei Dollar;Global Investment Account;84203;90373;LEFT;false;false;false;false;Glen;pink;orange vortals;true;withdrawal bypassing;iterate Borders;true;false;Table transmit;true
9;optical blue Wisconsin;ONE_TO_MANY;DATA_DICTIONARY;open-source Investment Account neural-net;Frozen payment;pricing structure;supply-chains navigate motivating;59577;49494;RIGHT;false;true;false;false;cyan Bedfordshire B2C;Illinois Chicken;Infrastructure;false;driver circuit Junctions;niches internet solution;true;true;Central;false
10;transmitting website Industrial;MANY_TO_ONE;ENTITY;Assimilated Personal Loan Account;Nuevo Sol Baby;Pizza;Albania panel;67755;75701;RIGHT;false;true;true;false;action-items Antigua and Barbuda Fantastic Soft Hat;Fantastic benchmark;payment;false;Burkina Faso ADP;Oklahoma olive copying;true;false;repurpose;true
