id;name;code;description;type;method;url
1;Refined generating;Group Metal Sausages;Squares Gorgeous;BUSINESS;Assistant;http://imani.com
2;fuchsia program;Generic Plastic Chicken JSON;invoice;BUSINESS;Towels;https://fidel.biz
3;Configuration Savings Account;indexing e-enable;implement secured line copy;API;COM Games Egypt;http://josianne.com
4;platforms Switzerland Markets;Green Hollow;strategize calculating Prairie;API;Berkshire Savings Account;http://mabel.net
5;Tuna Tugrik circuit;flexibility;Shoes Security;API;Walk;http://julius.name
6;Plastic;Intelligent Fresh Chicken fuchsia compelling;Steel;API;Avon;http://coby.biz
7;plum invoice zero tolerance;Credit Card Account Pines;USB;API;Money Market Account;http://deontae.org
8;grey Orchard;Kentucky Cheese copying;monitoring Unbranded Wooden Bike Colombia;API;action-items;https://florence.com
9;Computers Saint Vincent and the Grenadines;Tasty Frozen Sausages Crossroad matrix;Baby deploy;API;circuit Metal Liechtenstein;http://albina.info
10;Central Coordinator Engineer;experiences;indexing Pants collaboration;API;Borders;https://jazmin.name
